"Trace Metals",	"f2d6aa01-5070-4147-bae1-4b2cad2c3987",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Trace Metals",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Trace Metals"
"Toxic Chemicals",	"bf3aaf41-3502-49cf-89df-4613ce87c9c3",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Toxic Chemicals",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Toxic Chemicals"
"Suspended Solids",	"9d8cb1dd-4b38-4b4e-8532-ab4eb72cd4ae",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Suspended Solids",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Suspended Solids"
"Stable Isotopes",	"fb52b51d-8bb4-4b04-907b-c130ec706f85",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Stable Isotopes",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Stable Isotopes"
"Radioisotopes",	"6f4e850f-84e4-466f-b5ad-2032ea2187ea",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Radioisotopes",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Radioisotopes"
"Phosphorous Compounds",	"846d2db9-41cd-4ae8-b4ff-a34a9efb7428",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Phosphorous Compounds",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Phosphorous Compounds"
"Ph",	"14625f2a-4186-4377-a0d9-88998bb6b775",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Ph",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Ph"
"Oxygen",	"b632d0cc-d4b0-458e-a182-16bbd2a5ab05",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Oxygen",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Oxygen"
"Organic Matter",	"9c90825c-a35f-4165-8248-e90ab869f8ec",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Organic Matter",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Organic Matter"
"Nutrients",	"1459a39c-4781-4481-8bd9-510762865efd",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Nutrients",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Nutrients"
"Nitrogen Compounds",	"644e0f53-98a2-4512-a228-00f5e61fd93d",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Nitrogen Compounds",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Nitrogen Compounds"
"Inorganic Matter",	"e848dbd1-b70a-4820-a630-98bd642ae357",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Inorganic Matter",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Inorganic Matter"
"Hydrocarbons",	"aef23021-81c1-4540-a0a5-35c590142a6d",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Hydrocarbons",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Hydrocarbons"
"Dissolved Solids",	"7d82a1f7-aa6e-47c7-8eb3-78bfe2e4349b",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Dissolved Solids",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Dissolved Solids"
"Dissolved Gases",	"ac933400-3c8c-4db4-ac68-5e8ed06c8336",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Dissolved Gases",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Dissolved Gases"
"Contaminants",	"42c6d91b-afef-4638-95c5-0d130828b2e7",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Contaminants",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Contaminants"
"Conductivity",	"d14389d9-54f5-41a0-b8e8-dc9d8f87e4e2",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Conductivity",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Conductivity"
"Chlorophyll",	"de21632f-b614-4375-8f09-d14ab00d852b",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Chlorophyll",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Chlorophyll"
"Carbon Dioxide",	"a9b89557-c09f-4a4a-a1eb-47c632f8eb59",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Carbon Dioxide",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Carbon Dioxide"
"Alkalinity",	"a74059fe-6b15-4b55-8ea5-4a65b66c7e11",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Alkalinity",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Alkalinity"
"Acid Deposition",	"62ee81e7-9f5a-4af5-a086-f4c402c7d19d",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry > Acid Deposition",	"regular",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry > Acid Deposition"
"Water Quality/Water Chemistry",	"8c02f5d1-ce86-4bf5-84d5-b3496cdba6ad",	"Terrestrial Hydrosphere > Water Quality/Water Chemistry",	"bold",	"Earth Science > Terrestrial Hydrosphere > Water Quality/Water Chemistry"
"Watershed Drainage",	"ae36ad48-85f2-42a0-958f-efec71c34cc0",	"Terrestrial Hydrosphere > Surface Water > Watershed Characteristics > Watershed Drainage",	"regular",	"Earth Science > Terrestrial Hydrosphere > Surface Water > Watershed Characteristics > Watershed Drainage"
"Watershed Boundaries",	"b98123fc-6a87-4396-8e1a-ae7406e76ff6",	"Terrestrial Hydrosphere > Surface Water > Watershed Characteristics > Watershed Boundaries",	"regular",	"Earth Science > Terrestrial Hydrosphere > Surface Water > Watershed Characteristics > Watershed Boundaries"
"Watershed Characteristics",	"c84b61fe-720a-4240-b6c8-8dcc9ae24a36",	"Terrestrial Hydrosphere > Surface Water > Watershed Characteristics",	"regular",	"Earth Science > Terrestrial Hydrosphere > Surface Water > Watershed Characteristics"
